Time	Setpoint (%)	Error	Salida Controlada	Ley de Control
57.00	0.00	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00
61.00	0.00	0.00	0.00	0.00
62.00	0.00	0.00	0.00	0.00
63.00	0.00	0.00	0.00	0.00
64.00	0.00	0.00	0.00	0.00
65.00	0.00	0.00	0.00	0.00
66.00	0.00	0.00	0.00	0.00
67.00	0.00	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.00
69.00	0.00	0.00	0.00	0.00
70.00	0.00	0.00	0.00	0.00
71.00	0.00	0.00	0.00	0.00
72.00	0.00	0.00	0.00	0.00
73.00	0.00	0.00	0.00	0.00
74.00	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00
76.00	0.00	0.00	0.00	0.00
77.00	0.00	0.00	0.00	0.00
78.00	0.00	0.00	0.00	0.00
79.00	0.00	0.00	0.00	0.00
80.00	0.00	0.00	0.00	0.00
81.00	0.00	0.00	0.00	0.00
82.00	0.00	0.00	0.00	0.00
83.00	0.00	0.00	0.00	0.00
84.00	0.00	0.00	0.00	0.00
85.00	0.00	0.00	0.00	0.00
86.00	0.00	0.00	0.00	0.00
87.00	0.00	0.00	0.00	0.00
88.00	0.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00
94.00	0.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	0.00
97.00	0.00	0.00	0.00	0.00
98.00	0.00	0.00	0.00	0.00
99.00	0.00	0.00	0.00	0.00
100.00	0.00	0.00	0.00	0.00
101.00	0.00	0.00	0.00	0.00
102.00	0.00	0.00	0.00	0.00
103.00	0.00	0.00	0.00	0.00
104.00	0.00	0.00	0.00	0.00
105.00	0.00	0.00	0.00	0.00
106.00	0.00	0.00	0.00	0.00
107.00	0.00	0.00	0.00	0.00
108.00	0.00	0.00	0.00	0.00
109.00	0.00	0.00	0.00	0.00
110.00	0.00	0.00	0.00	0.00
111.00	0.00	0.00	0.00	0.00
112.00	0.00	0.00	0.00	0.00
113.00	0.00	0.00	0.00	0.00
114.00	0.00	0.00	0.00	0.00
115.00	0.00	0.00	0.00	0.00
116.00	0.00	0.00	0.00	0.00
117.00	0.00	0.00	0.00	0.00
118.00	0.00	0.00	0.00	0.00
119.00	0.00	0.00	0.00	0.00
120.00	0.00	0.00	0.00	0.00
121.00	0.00	0.00	0.00	0.00
122.00	0.00	0.00	0.00	0.00
123.00	0.00	0.00	0.00	0.00
124.00	0.00	0.00	0.00	0.00
125.00	0.00	0.00	0.00	0.00
126.00	0.00	0.00	0.00	0.00
127.00	0.00	0.00	0.00	0.00
128.00	25.00	25.00	0.00	0.00
129.00	25.00	25.00	0.00	17.24
130.00	25.00	17.08	7.92	18.06
131.00	25.00	11.05	13.95	18.54
132.00	25.00	6.72	18.28	20.06
133.00	25.00	3.09	21.91	20.94
134.00	25.00	0.19	24.81	20.91
135.00	25.00	-1.78	26.78	20.40
136.00	25.00	-2.87	27.87	19.68
137.00	25.00	-3.28	28.28	18.90
138.00	25.00	-3.18	28.18	18.17
139.00	25.00	-2.77	27.77	17.54
140.00	25.00	-2.18	27.18	17.05
141.00	25.00	-1.55	26.55	16.71
142.00	25.00	-0.96	25.96	16.50
143.00	25.00	-0.46	25.46	16.41
144.00	25.00	-0.08	25.08	16.41
145.00	25.00	0.19	24.81	16.46
146.00	25.00	0.34	24.66	16.55
147.00	25.00	0.41	24.59	16.64
148.00	25.00	0.41	24.59	16.74
149.00	25.00	0.36	24.64	16.82
150.00	25.00	0.29	24.71	16.89
151.00	25.00	0.21	24.79	16.93
152.00	25.00	0.13	24.87	16.96
153.00	25.00	0.07	24.93	16.97
154.00	25.00	0.02	24.98	16.98
155.00	25.00	-0.02	25.02	16.97
156.00	25.00	-0.04	25.04	16.96
157.00	25.00	-0.05	25.05	16.95
158.00	25.00	-0.05	25.05	16.94
159.00	25.00	-0.05	25.05	16.92
160.00	25.00	-0.04	25.04	16.92
161.00	25.00	-0.03	25.03	16.91
162.00	25.00	-0.02	25.02	16.91
163.00	25.00	-0.01	25.01	16.90
164.00	25.00	0.00	25.00	16.90
165.00	25.00	0.00	25.00	16.90
166.00	25.00	0.00	25.00	16.91
167.00	25.00	0.01	24.99	16.91
168.00	25.00	0.01	24.99	16.91
169.00	25.00	0.01	24.99	16.91
170.00	25.00	0.00	25.00	16.91
171.00	25.00	0.00	25.00	16.91
172.00	25.00	0.00	25.00	16.91
173.00	25.00	0.00	25.00	16.91
174.00	25.00	0.00	25.00	16.91
175.00	25.00	0.00	25.00	16.91
176.00	25.00	0.00	25.00	16.91
177.00	25.00	0.00	25.00	16.91
178.00	25.00	0.00	25.00	16.91
179.00	25.00	0.00	25.00	16.91
180.00	25.00	0.00	25.00	16.91
181.00	25.00	0.00	25.00	16.91
182.00	25.00	0.00	25.00	16.91
183.00	25.00	0.00	25.00	16.91
184.00	25.00	0.00	25.00	16.91
185.00	25.00	0.00	25.00	16.91
186.00	25.00	0.00	25.00	16.91
187.00	25.00	0.00	25.00	16.91
188.00	25.00	0.00	25.00	16.91
189.00	25.00	0.00	25.00	16.91
190.00	25.00	0.00	25.00	16.91
191.00	25.00	0.00	25.00	16.91
192.00	25.00	0.00	25.00	16.91
193.00	25.00	0.00	25.00	16.91
194.00	25.00	0.00	25.00	16.91
195.00	25.00	0.00	25.00	16.91
196.00	25.00	0.00	25.00	16.91
197.00	25.00	0.00	25.00	16.91
198.00	25.00	0.00	25.00	16.91
199.00	25.00	0.00	25.00	16.91
200.00	25.00	0.00	25.00	16.91
201.00	25.00	0.00	25.00	16.91
202.00	25.00	0.00	25.00	16.91
203.00	25.00	0.00	25.00	16.91
204.00	25.00	0.00	25.00	16.91
205.00	25.00	0.00	25.00	16.91
206.00	25.00	0.00	25.00	16.91
207.00	25.00	0.00	25.00	16.91
208.00	25.00	0.00	25.00	16.91
209.00	25.00	0.00	25.00	16.91
210.00	25.00	0.00	25.00	16.91
211.00	25.00	0.00	25.00	16.91
212.00	25.00	0.00	25.00	16.91
213.00	25.00	0.00	25.00	16.91
214.00	25.00	0.00	25.00	16.91
215.00	25.00	0.00	25.00	16.91
216.00	25.00	0.00	25.00	16.91
217.00	25.00	0.00	25.00	16.91
218.00	25.00	0.00	25.00	16.91
219.00	25.00	0.00	25.00	16.91
220.00	25.00	0.00	25.00	16.91
221.00	25.00	0.00	25.00	16.91
222.00	25.00	0.00	25.00	16.91
223.00	25.00	0.00	25.00	16.91
224.00	25.00	0.00	25.00	16.91
225.00	25.00	0.00	25.00	16.91
226.00	25.00	0.00	25.00	16.91
227.00	25.00	0.00	25.00	16.91
228.00	25.00	0.00	25.00	16.91
229.00	25.00	0.00	25.00	16.91
230.00	25.00	0.00	25.00	16.91
231.00	25.00	1.36	23.64	16.91
232.00	25.00	1.81	23.19	17.85
233.00	25.00	2.29	22.71	18.21
234.00	25.00	2.27	22.73	18.87
235.00	25.00	1.94	23.06	19.31
236.00	25.00	2.06	22.94	19.62
237.00	25.00	1.92	23.08	20.23
238.00	25.00	1.70	23.30	20.60
239.00	25.00	1.35	23.65	20.93
240.00	25.00	0.91	24.09	21.14
241.00	25.00	0.56	24.44	21.23
242.00	25.00	0.17	24.83	21.29
243.00	25.00	-0.12	25.12	21.23
244.00	25.00	-0.29	25.29	21.15
245.00	25.00	-0.37	25.37	21.06
246.00	25.00	-0.38	25.38	20.98
247.00	25.00	-0.35	25.35	20.90
248.00	25.00	-0.29	25.29	20.83
249.00	25.00	-0.21	25.21	20.78
250.00	25.00	-0.14	25.14	20.75
251.00	25.00	-0.08	25.08	20.74
252.00	25.00	-0.03	25.03	20.73
253.00	25.00	0.01	24.99	20.74
254.00	25.00	0.03	24.97	20.75
255.00	25.00	0.05	24.95	20.76
256.00	25.00	0.05	24.95	20.77
257.00	25.00	0.04	24.96	20.78
258.00	25.00	0.04	24.96	20.79
259.00	25.00	0.03	24.97	20.79
260.00	25.00	0.02	24.98	20.80
261.00	25.00	0.01	24.99	20.80
262.00	25.00	0.00	25.00	20.80
263.00	25.00	0.00	25.00	20.80
264.00	25.00	0.00	25.00	20.80
265.00	25.00	-0.01	25.01	20.80
266.00	25.00	-0.01	25.01	20.80
267.00	25.00	-0.01	25.01	20.80
268.00	25.00	0.00	25.00	20.79
269.00	25.00	0.00	25.00	20.79
270.00	25.00	0.00	25.00	20.79
271.00	25.00	0.00	25.00	20.79
272.00	25.00	0.00	25.00	20.79
273.00	25.00	0.00	25.00	20.79
274.00	25.00	0.00	25.00	20.79
275.00	25.00	0.00	25.00	20.79
276.00	25.00	0.00	25.00	20.79
277.00	25.00	0.00	25.00	20.79
278.00	25.00	0.00	25.00	20.79
279.00	25.00	0.00	25.00	20.79
280.00	25.00	0.00	25.00	20.79
281.00	25.00	0.00	25.00	20.79
282.00	25.00	0.00	25.00	20.79
283.00	25.00	0.00	25.00	20.79
284.00	25.00	0.00	25.00	20.79
285.00	25.00	0.00	25.00	20.79
286.00	25.00	0.00	25.00	20.79
287.00	25.00	0.00	25.00	20.79
288.00	25.00	0.00	25.00	20.79
289.00	25.00	0.00	25.00	20.79
290.00	25.00	0.00	25.00	20.79
291.00	25.00	0.00	25.00	20.79
292.00	25.00	0.00	25.00	20.79
293.00	25.00	0.00	25.00	20.79
294.00	25.00	0.30	24.70	20.79
295.00	25.00	0.45	24.55	21.00
296.00	25.00	0.96	24.04	21.12
297.00	25.00	1.75	23.25	21.54
298.00	25.00	2.07	22.93	22.21
299.00	25.00	2.02	22.98	22.69
300.00	25.00	1.90	23.10	23.08
301.00	25.00	1.93	23.07	23.49
302.00	25.00	1.65	23.35	23.98
303.00	25.00	1.32	23.68	24.24
304.00	25.00	0.77	24.23	24.46
305.00	25.00	0.28	24.72	24.46
306.00	25.00	-0.05	25.05	24.43
307.00	25.00	-0.25	25.25	24.36
308.00	25.00	-0.37	25.37	24.28
309.00	25.00	-0.40	25.40	24.18
310.00	25.00	-0.38	25.38	24.09
311.00	25.00	-0.32	25.32	24.02
312.00	25.00	-0.25	25.25	23.97
313.00	25.00	-0.17	25.17	23.93
314.00	25.00	-0.10	25.10	23.91
315.00	25.00	-0.04	25.04	23.90
316.00	25.00	0.00	25.00	23.90
317.00	25.00	0.03	24.97	23.91
318.00	25.00	0.04	24.96	23.92
319.00	25.00	0.05	24.95	23.93
320.00	25.00	0.05	24.95	23.94
321.00	25.00	0.04	24.96	23.95
322.00	25.00	0.03	24.97	23.96
323.00	25.00	0.02	24.98	23.96
324.00	25.00	0.01	24.99	23.97
325.00	25.00	0.01	24.99	23.97
326.00	25.00	0.00	25.00	23.97
327.00	25.00	0.00	25.00	23.97
328.00	25.00	-0.01	25.01	23.97
329.00	25.00	-0.01	25.01	23.96
330.00	25.00	-0.01	25.01	23.96
331.00	25.00	-0.01	25.01	23.96
332.00	25.00	0.00	25.00	23.96
333.00	25.00	0.00	25.00	23.96
334.00	25.00	0.00	25.00	23.96
335.00	25.00	0.00	25.00	23.96
336.00	25.00	0.00	25.00	23.96
337.00	25.00	0.00	25.00	23.96
338.00	25.00	0.00	25.00	23.96
339.00	25.00	0.00	25.00	23.96
340.00	25.00	0.00	25.00	23.96
341.00	25.00	0.00	25.00	23.96
342.00	25.00	0.00	25.00	23.96
343.00	25.00	0.00	25.00	23.96
344.00	25.00	0.00	25.00	23.96
345.00	25.00	0.00	25.00	23.96
346.00	25.00	0.00	25.00	23.96
347.00	25.00	0.00	25.00	23.96
348.00	25.00	0.00	25.00	23.96
349.00	25.00	0.00	25.00	23.96
350.00	25.00	0.00	25.00	23.96
351.00	25.00	0.00	25.00	23.96
352.00	25.00	0.00	25.00	23.96
353.00	25.00	0.00	25.00	23.96
354.00	25.00	0.00	25.00	23.96
355.00	25.00	0.00	25.00	23.96
356.00	25.00	0.00	25.00	23.96
357.00	25.00	0.00	25.00	23.96
358.00	25.00	0.00	25.00	23.96
359.00	25.00	0.00	25.00	23.96
360.00	25.00	0.00	25.00	23.96
361.00	25.00	0.00	25.00	23.96
362.00	25.00	0.00	25.00	23.96
363.00	25.00	0.00	25.00	23.96
364.00	25.00	0.00	25.00	23.96
365.00	25.00	0.00	25.00	23.96
366.00	25.00	0.00	25.00	23.96
367.00	25.00	0.00	25.00	23.96
368.00	25.00	0.00	25.00	23.96
369.00	25.00	0.00	25.00	23.96
370.00	25.00	0.00	25.00	23.96
371.00	25.00	0.00	25.00	23.96
372.00	25.00	0.00	25.00	23.96
373.00	25.00	0.00	25.00	23.96
374.00	25.00	0.00	25.00	23.96
375.00	25.00	0.00	25.00	23.96
376.00	25.00	0.00	25.00	23.96
377.00	25.00	0.00	25.00	23.96
378.00	25.00	0.00	25.00	23.96
379.00	25.00	0.00	25.00	23.96
380.00	25.00	0.00	25.00	23.96
381.00	25.00	0.00	25.00	23.96
382.00	25.00	0.00	25.00	23.96
383.00	25.00	0.00	25.00	23.96
384.00	25.00	0.00	25.00	23.96
385.00	25.00	0.00	25.00	23.96
386.00	25.00	0.00	25.00	23.96
387.00	25.00	0.00	25.00	23.96
388.00	25.00	0.00	25.00	23.96
389.00	25.00	0.00	25.00	23.96
390.00	25.00	0.00	25.00	23.96
391.00	25.00	0.00	25.00	23.96
392.00	25.00	0.00	25.00	23.96
393.00	25.00	0.00	25.00	23.96
394.00	25.00	0.00	25.00	23.96
395.00	25.00	0.00	25.00	23.96
396.00	25.00	0.00	25.00	23.96
397.00	25.00	0.00	25.00	23.96
398.00	25.00	0.00	25.00	23.96
399.00	25.00	0.00	25.00	23.96
400.00	25.00	0.00	25.00	23.96
401.00	25.00	0.00	25.00	23.96
402.00	25.00	0.00	25.00	23.96
403.00	25.00	0.00	25.00	23.96
404.00	25.00	0.00	25.00	23.96
405.00	25.00	0.00	25.00	23.96
406.00	25.00	0.00	25.00	23.96
407.00	25.00	0.00	25.00	23.96
408.00	25.00	0.00	25.00	23.96
409.00	25.00	0.00	25.00	23.96
410.00	25.00	0.00	25.00	23.96
411.00	25.00	0.00	25.00	23.96
412.00	25.00	0.00	25.00	23.96
413.00	25.00	0.00	25.00	23.96
414.00	25.00	0.00	25.00	23.96
415.00	25.00	0.00	25.00	23.96
416.00	25.00	0.00	25.00	23.96
417.00	25.00	0.00	25.00	23.96
418.00	25.00	0.00	25.00	23.96
419.00	25.00	0.00	25.00	23.96
420.00	25.00	0.00	25.00	23.96
421.00	25.00	0.00	25.00	23.96
422.00	25.00	0.00	25.00	23.96
423.00	25.00	0.00	25.00	23.96
424.00	25.00	0.00	25.00	23.96
425.00	25.00	0.00	25.00	23.96
426.00	25.00	0.00	25.00	23.96
427.00	25.00	0.00	25.00	23.96
428.00	25.00	0.00	25.00	23.96
429.00	25.00	0.00	25.00	23.96
430.00	25.00	0.00	25.00	23.96
431.00	25.00	0.00	25.00	23.96
432.00	25.00	0.00	25.00	23.96
433.00	25.00	0.00	25.00	23.96
434.00	25.00	0.00	25.00	23.96
435.00	25.00	0.00	25.00	23.96
436.00	25.00	0.00	25.00	23.96
437.00	25.00	0.00	25.00	23.96
438.00	25.00	0.00	25.00	23.96
439.00	25.00	0.00	25.00	23.96
440.00	25.00	0.00	25.00	23.96
441.00	25.00	0.00	25.00	23.96
442.00	25.00	0.00	25.00	23.96
443.00	25.00	0.00	25.00	23.96
444.00	25.00	0.00	25.00	23.96
445.00	25.00	0.00	25.00	23.96
446.00	25.00	0.00	25.00	23.96
447.00	25.00	0.00	25.00	23.96
448.00	25.00	0.00	25.00	23.96
449.00	25.00	0.00	25.00	23.96
450.00	25.00	-1.66	26.66	23.96
451.00	25.00	-1.66	26.66	22.81
452.00	25.00	-1.29	26.29	22.76
453.00	25.00	-1.04	26.04	22.62
454.00	25.00	-1.00	26.00	22.41
455.00	25.00	-0.68	25.68	22.14
456.00	25.00	-0.48	25.48	22.12
457.00	25.00	-0.38	25.38	22.03
458.00	25.00	-0.32	25.32	21.94
459.00	25.00	-0.13	25.13	21.88
460.00	25.00	-0.12	25.12	21.92
461.00	25.00	-0.49	25.49	21.85
462.00	25.00	-0.55	25.55	21.57
463.00	25.00	-0.51	25.51	21.49
464.00	25.00	-0.49	25.49	21.40
465.00	25.00	-0.33	25.33	21.28
466.00	25.00	-0.32	25.32	21.27
467.00	25.00	-0.35	25.35	21.17
468.00	25.00	-0.22	25.22	21.07
469.00	25.00	-0.24	25.24	21.08
470.00	25.00	-0.15	25.15	20.99
471.00	25.00	-0.20	25.20	21.00
472.00	25.00	-0.14	25.14	20.91
473.00	25.00	-0.05	25.05	20.91
474.00	25.00	0.01	24.99	20.93
475.00	25.00	0.04	24.96	20.94
476.00	25.00	0.05	24.95	20.95
477.00	25.00	0.06	24.94	20.96
478.00	25.00	0.06	24.94	20.98
479.00	25.00	0.05	24.95	20.99
480.00	25.00	0.04	24.96	21.00
481.00	25.00	0.03	24.97	21.00
482.00	25.00	0.02	24.98	21.01
483.00	25.00	0.01	24.99	21.01
484.00	25.00	0.00	25.00	21.01
485.00	25.00	0.00	25.00	21.01
486.00	25.00	-0.01	25.01	21.00
487.00	25.00	-0.01	25.01	21.00
488.00	25.00	-0.01	25.01	21.00
489.00	25.00	-0.01	25.01	21.00
490.00	25.00	-0.01	25.01	21.00
491.00	25.00	0.00	25.00	21.00
492.00	25.00	0.00	25.00	21.00
493.00	25.00	0.00	25.00	21.00
494.00	25.00	0.00	25.00	21.00
495.00	25.00	0.00	25.00	21.00
496.00	25.00	0.00	25.00	21.00
497.00	25.00	0.00	25.00	21.00
498.00	25.00	0.00	25.00	21.00
499.00	25.00	0.00	25.00	21.00
500.00	25.00	0.00	25.00	21.00
501.00	25.00	0.00	25.00	21.00
502.00	25.00	0.00	25.00	21.00
503.00	25.00	0.00	25.00	21.00
504.00	25.00	0.00	25.00	21.00
505.00	25.00	0.00	25.00	21.00
506.00	25.00	0.00	25.00	21.00
507.00	25.00	0.00	25.00	21.00
508.00	25.00	0.00	25.00	21.00
509.00	25.00	0.00	25.00	21.00
510.00	25.00	0.00	25.00	21.00
511.00	25.00	0.00	25.00	21.00
512.00	25.00	0.00	25.00	21.00
513.00	25.00	0.00	25.00	21.00
514.00	25.00	0.00	25.00	21.00
515.00	25.00	0.00	25.00	21.00
516.00	25.00	0.00	25.00	21.00
517.00	25.00	0.00	25.00	21.00
518.00	25.00	-1.06	26.06	21.00
519.00	25.00	-1.06	26.06	20.27
520.00	25.00	-0.72	25.72	20.23
521.00	25.00	-0.62	25.62	20.21
522.00	25.00	-0.59	25.59	20.05
523.00	25.00	-0.69	25.69	19.90
524.00	25.00	-0.48	25.48	19.68
525.00	25.00	-0.54	25.54	19.68
526.00	25.00	-0.83	25.83	19.49
527.00	25.00	-1.98	26.98	19.17
528.00	25.00	-2.15	27.15	18.24
529.00	25.00	-1.67	26.67	17.89
530.00	25.00	-1.07	26.07	17.74
531.00	25.00	-0.59	25.59	17.66
532.00	25.00	-0.22	25.22	17.62
533.00	25.00	0.05	24.95	17.63
534.00	25.00	0.23	24.77	17.69
535.00	25.00	0.32	24.68	17.77
536.00	25.00	0.34	24.66	17.85
537.00	25.00	0.32	24.68	17.92
538.00	25.00	0.27	24.73	17.99
539.00	25.00	0.21	24.79	18.03
540.00	25.00	0.14	24.86	18.06
541.00	25.00	0.08	24.92	18.08
542.00	25.00	0.04	24.96	18.09
543.00	25.00	0.00	25.00	18.09
544.00	25.00	-0.03	25.03	18.08
545.00	25.00	-0.04	25.04	18.07
546.00	25.00	-0.04	25.04	18.06
547.00	25.00	-0.04	25.04	18.05
548.00	25.00	-0.04	25.04	18.04
549.00	25.00	-0.03	25.03	18.04
550.00	25.00	-0.02	25.02	18.03
551.00	25.00	-0.01	25.01	18.03
552.00	25.00	-0.01	25.01	18.03
553.00	25.00	0.00	25.00	18.03
554.00	25.00	0.00	25.00	18.03
555.00	25.00	0.00	25.00	18.03
556.00	25.00	0.01	24.99	18.03
557.00	25.00	0.01	24.99	18.03
558.00	25.00	0.00	25.00	18.03
559.00	25.00	0.00	25.00	18.04
560.00	25.00	0.00	25.00	18.04
561.00	25.00	0.00	25.00	18.04
562.00	25.00	0.00	25.00	18.04
563.00	25.00	0.00	25.00	18.04
564.00	25.00	0.00	25.00	18.04
565.00	25.00	0.00	25.00	18.04
566.00	25.00	0.00	25.00	18.04
567.00	25.00	0.00	25.00	18.04
568.00	25.00	0.00	25.00	18.04
569.00	25.00	0.00	25.00	18.04
570.00	25.00	0.00	25.00	18.04
571.00	25.00	0.00	25.00	18.04
572.00	25.00	0.00	25.00	18.04
573.00	25.00	0.00	25.00	18.04
574.00	25.00	0.00	25.00	18.04
575.00	25.00	0.00	25.00	18.04
576.00	25.00	0.00	25.00	18.04
577.00	25.00	0.00	25.00	18.04
578.00	25.00	0.00	25.00	18.04
579.00	25.00	0.00	25.00	18.04
580.00	25.00	0.00	25.00	18.04
581.00	25.00	0.00	25.00	18.04
582.00	25.00	-1.66	26.66	18.04
583.00	25.00	-1.66	26.66	16.89
584.00	25.00	-1.13	26.14	16.84
585.00	25.00	-0.73	25.73	16.80
586.00	25.00	-0.45	25.45	16.70
587.00	25.00	-0.21	25.21	16.64
588.00	25.00	-0.01	25.01	16.65
589.00	25.00	0.12	24.88	16.68
590.00	25.00	0.19	24.81	16.73
591.00	25.00	0.22	24.78	16.78
592.00	25.00	0.21	24.79	16.83
593.00	25.00	0.18	24.82	16.87
594.00	25.00	0.15	24.85	16.90
595.00	25.00	0.10	24.90	16.93
596.00	25.00	0.06	24.94	16.94
597.00	25.00	0.03	24.97	16.94
598.00	25.00	0.01	24.99	16.95
599.00	25.00	-0.01	25.01	16.94
600.00	25.00	-0.02	25.02	16.94
601.00	25.00	-0.03	25.03	16.93
602.00	25.00	-0.03	25.03	16.92
603.00	25.00	-0.02	25.02	16.92
604.00	25.00	-0.02	25.02	16.91
605.00	25.00	-0.01	25.01	16.91
606.00	25.00	-0.01	25.01	16.91
607.00	25.00	0.00	25.00	16.91
608.00	25.00	0.00	25.00	16.91
609.00	25.00	0.00	25.00	16.91
610.00	25.00	0.00	25.00	16.91
611.00	25.00	0.00	25.00	16.91
612.00	25.00	0.00	25.00	16.91
613.00	25.00	0.00	25.00	16.91
614.00	25.00	0.00	25.00	16.91
615.00	25.00	0.00	25.00	16.91
616.00	25.00	0.00	25.00	16.91
617.00	25.00	0.00	25.00	16.91
618.00	25.00	0.00	25.00	16.91
619.00	25.00	0.00	25.00	16.91
620.00	25.00	0.00	25.00	16.91
621.00	25.00	0.00	25.00	16.91
622.00	25.00	0.00	25.00	16.91
623.00	25.00	0.00	25.00	16.91
624.00	25.00	0.00	25.00	16.91
625.00	25.00	0.00	25.00	16.91
626.00	25.00	0.00	25.00	16.91
627.00	25.00	0.00	25.00	16.91
628.00	25.00	0.00	25.00	16.91
629.00	25.00	0.00	25.00	16.91
630.00	25.00	0.00	25.00	16.91
631.00	25.00	0.00	25.00	16.91
632.00	25.00	0.00	25.00	16.91
633.00	25.00	0.00	25.00	16.91
634.00	25.00	0.00	25.00	16.91
635.00	25.00	0.00	25.00	16.91
636.00	25.00	0.00	25.00	16.91
637.00	25.00	0.00	25.00	16.91
638.00	25.00	0.00	25.00	16.91
639.00	25.00	0.00	25.00	16.91
640.00	25.00	0.00	25.00	16.91
641.00	25.00	0.00	25.00	16.91
642.00	25.00	0.00	25.00	16.91
643.00	25.00	0.00	25.00	16.91
644.00	25.00	0.00	25.00	16.91
645.00	25.00	0.00	25.00	16.91
646.00	25.00	0.00	25.00	16.91
647.00	25.00	0.00	25.00	16.91
648.00	25.00	0.00	25.00	16.91
